Caterpillar Type,Replicate,Protein 1,Protein 2,Protein 3,Protein 4,Protein 5,Protein 6,Protein 7,Protein 8,Protein 9,Protein 10
SecondInstar,1,9.189,13.704,14.618,33.064,133.162,1.301,143.297,143.297,16.204,133.162
SecondInstar,2,9.756,14.454,13.336,33.098,133.744,0.621,146.536,146.536,16.192,133.744
SecondInstar,3,9.590,13.469,13.546,34.025,133.827,2.220,141.709,141.709,16.326,133.827
SecondInstar,4,10.662,15.129,14.146,32.963,132.880,0.769,152.258,152.258,14.978,132.880
SecondInstar,5,10.131,15.719,12.813,33.763,133.287,0.729,142.364,142.364,16.097,133.287
SecondInstar,6,10.646,15.562,13.771,34.334,133.316,1.417,153.293,153.293,16.014,133.316
SecondInstar,7,10.058,13.573,14.393,32.543,134.782,2.296,153.218,153.218,16.374,134.782
SecondInstar,8,9.786,14.076,11.735,35.096,134.055,0.760,152.354,152.354,14.800,134.055
SecondInstar,9,10.823,13.720,13.528,35.286,133.123,1.303,145.918,145.918,16.197,133.123
SecondInstar,10,9.497,14.416,11.523,32.558,132.906,1.264,148.644,148.644,16.202,132.906
SecondInstar,11,9.894,14.680,11.756,34.233,134.649,0.897,153.450,153.450,15.683,134.649
SecondInstar,12,10.766,13.847,11.432,32.617,133.741,1.423,143.683,143.683,16.469,133.741
SecondInstar,13,9.798,13.250,13.274,35.693,135.018,1.662,154.604,154.604,16.107,135.018
SecondInstar,14,10.061,13.868,13.960,35.119,134.411,1.328,153.275,153.275,16.522,134.411
SecondInstar,15,10.340,15.498,12.109,33.834,135.217,2.118,148.536,148.536,16.210,135.217
SecondInstar,16,9.790,14.275,11.247,33.528,135.337,0.561,141.875,141.875,14.982,135.337
SecondInstar,17,9.453,14.044,13.570,33.162,135.618,2.080,155.192,155.192,14.790,135.618
SecondInstar,18,10.119,14.382,14.327,33.105,135.165,1.157,148.568,148.568,15.910,135.165
SecondInstar,19,10.434,14.478,12.011,34.466,133.518,1.360,151.517,151.517,16.312,133.518
SecondInstar,20,9.638,14.698,11.693,34.144,132.854,1.468,142.334,142.334,14.822,132.854
SecondInstar,21,10.571,15.326,14.573,34.103,135.217,1.539,146.277,146.277,16.066,135.217
SecondInstar,22,9.988,14.480,15.008,32.730,133.120,0.585,156.760,156.760,16.035,133.120
SecondInstar,23,9.890,15.461,12.932,32.749,132.834,1.427,147.680,147.680,15.373,132.834
SecondInstar,24,9.564,14.482,11.876,34.029,133.889,1.641,152.261,152.261,15.063,133.889
SecondInstar,25,10.532,13.842,14.556,34.837,132.407,1.046,153.023,153.023,15.924,132.407
SecondInstar,26,10.266,15.703,13.930,35.619,134.378,2.517,148.891,148.891,16.309,134.378
SecondInstar,27,9.718,13.285,13.586,35.426,132.958,0.757,156.171,156.171,15.577,132.958
ThirdInstar,1,9.454,15.067,33.774,32.613,134.204,67.239,152.882,152.882,20.850,134.204
ThirdInstar,2,9.771,14.830,31.529,34.527,134.573,63.658,154.289,154.289,21.243,134.573
ThirdInstar,3,9.969,14.099,34.312,33.552,134.117,68.043,151.306,151.306,20.333,134.117
ThirdInstar,4,10.528,14.462,32.273,33.522,132.675,67.205,144.998,144.998,20.614,132.675
ThirdInstar,5,10.119,14.407,31.140,35.058,134.347,66.319,152.687,152.687,22.103,134.347
ThirdInstar,6,10.408,13.919,31.579,35.378,135.326,63.801,147.619,147.619,21.743,135.326
ThirdInstar,7,10.137,14.290,34.220,32.920,133.878,63.887,146.163,146.163,21.127,133.878
ThirdInstar,8,9.246,14.113,30.924,34.084,132.689,63.272,155.259,155.259,20.898,132.689
ThirdInstar,9,9.853,13.696,32.289,33.474,135.791,66.803,152.121,152.121,21.288,135.791
ThirdInstar,10,9.523,15.073,31.965,32.670,132.696,65.145,145.576,145.576,19.907,132.696
ThirdInstar,11,10.649,13.623,33.016,33.947,135.188,64.746,145.482,145.482,18.975,135.188
ThirdInstar,12,10.785,13.752,32.028,33.878,135.144,62.989,149.146,149.146,18.733,135.144
ThirdInstar,13,9.922,13.786,31.296,32.903,133.847,65.051,152.191,152.191,21.229,133.847
ThirdInstar,14,10.685,14.902,32.455,33.395,132.827,67.236,143.692,143.692,19.114,132.827
ThirdInstar,15,9.725,15.147,32.890,33.525,135.606,63.366,154.207,154.207,20.652,135.606
ThirdInstar,16,10.139,13.937,34.470,33.811,135.110,65.941,143.894,143.894,22.111,135.110
ThirdInstar,17,10.341,13.863,31.643,33.970,133.962,62.846,144.012,144.012,19.300,133.962
ThirdInstar,18,9.868,13.305,34.335,34.388,132.792,63.890,153.524,153.524,20.115,132.792
ThirdInstar,19,9.768,14.632,33.331,32.663,135.388,65.388,155.412,155.412,19.401,135.388
ThirdInstar,20,9.737,14.620,33.548,34.857,135.141,60.780,150.978,150.978,20.433,135.141
ThirdInstar,21,10.263,13.512,33.328,35.495,135.409,64.827,153.697,153.697,21.034,135.409
ThirdInstar,22,10.660,15.195,32.745,35.333,135.674,61.908,144.330,144.330,20.572,135.674
ThirdInstar,23,10.129,14.521,34.040,32.683,133.129,63.742,147.271,147.271,20.749,133.129
ThirdInstar,24,9.848,15.505,30.798,35.511,133.434,62.678,146.872,146.872,22.079,133.434
ThirdInstar,25,9.971,14.210,32.902,35.627,134.505,65.215,145.778,145.778,18.575,134.505
ThirdInstar,26,9.715,14.255,34.683,34.158,133.878,67.156,144.935,144.935,18.977,133.878
ThirdInstar,27,10.416,14.854,31.458,33.293,132.689,66.036,145.482,154.207,22.773,132.689
ThirdInstar,28,10.430,13.276,32.119,33.599,135.791,64.915,150.978,143.894,19.785,135.791
